school_code,full_school_name,school_name,lvl,School Address,school_address,am_earliest_arr,am_latest_arr,AM Bus Departure,PM Bus Arrival,pm_earliest_dep,pm_latest_dep,home_lat,home_lon
498.0,498.K Routes,Routes,,3200 E RAYMOND ST,"3200 East Raymond Street, Indianapolis, IN 46203",7:30 AM,7:50 AM,7:40 AM,1:25 PM,1:30 PM,1:40 PM,39.7386706,-86.11036469999999
14.0,014 - URBAN ACT ACADEMY @ WASH. IRVING,URBAN ACT ACADEMY @ WASH. IRVING,,1250 E MARKET ST,"1250 E MARKET ST, Indianapolis, IN",7:00 AM,7:20 AM,7:10 AM,3:15 PM,3:20 PM,3:30 PM,39.769124,-86.13663799999999
15.0,015 - THOMAS GREGG NEIGHBORHOOD SCHOOL,THOMAS GREGG NEIGHBORHOOD SCHOOL,,2302 E MICHIGAN ST,"2302 E MICHIGAN ST, Indianapolis, IN",7:10 AM,7:30 AM,7:20 AM,2:15 PM,2:20 PM,2:30 PM,39.775226,-86.121822
19.0,019 - SUPER SCHOOL 19,SUPER SCHOOL 19,,2020 DAWSON ST,"2020 DAWSON ST, Indianapolis, IN",7:20 AM,7:40 AM,7:30 AM,2:10 PM,2:15 PM,2:25 PM,39.7397013,-86.1292201
31.0,031 - JAMES A. GARFIELD SCHOOL,JAMES A. GARFIELD SCHOOL,,307 LINCOLN ST,"307 LINCOLN ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.7449741,-86.1524417
34.0,034 - ELEANOR SKILLEN,ELEANOR SKILLEN,,1410 WADE ST,"1410 WADE ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.7354203,-86.1359014
39.0,039 - WILLIAM MCKINLEY,WILLIAM MCKINLEY,,1733 SPANN AVE,"1733 SPANN AVE, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.7584467,-86.12961779999999
42.0,042 - ELDER W. DIGGS,ELDER W. DIGGS,,1002 W 25TH ST,"1002 W 25TH ST, Indianapolis, IN",7:00 AM,7:20 AM,7:15 AM,3:55 PM,4:00 PM,4:15 PM,39.80340580000001,-86.17946359999999
43.0,043 - JAMES WHITCOMB RILEY,JAMES WHITCOMB RILEY,,150 W 40TH ST,"150 W 40TH ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8290626,-86.1611073
44.0,044 - RIVERSIDE GLOBAL PREP,RIVERSIDE GLOBAL PREP,,2033 SUGAR GROVE AVE,"2033 SUGAR GROVE AVE, Indianapolis, IN",8:05 AM,8:25 AM,8:15 AM,3:55 PM,4:00 PM,4:10 PM,39.7948086,-86.18431439999999
